# http://www.apnewsarchive.com/1991/Forbes-List-of-World-s-Richest-People-With-AM-World-s-Richest-Graphic
#  Forbes List of Wealthiest 1991

	1. Taikichiro Mori, Japan, $15 billion.

2. Yoshiaki Tsutsumi, Japan, over $14 billion.

3. Sam Moore Walton and family, United States, $18.5 billion. (placed lower because total includes other family members.)

4. du Pont family, United States, $10 billion.

5. Hans and Gad Rausing (brothers), Sweden, $9 billion.

6. Kitaro Watanabe, Japan, over $7 billion.

7. Reichmann brothers, Canada, $7 billion.

8. Forrest E. Mars and family, United States, $6.8 billion.

Kenneth Roy Thompson, Canada, $6.8 billion.

10. Kenkichi Nakajima and family, Japan, $6.1 billion.

11. Shin Kyuk-ho, South Korea, over $6 billion.

12. John Werner Kluge, United States, $5.6 billion.

13. Takenaka family, Japan, $5.4 billion.

14. Haniel family, Germany, $5.3 billion.

15. Barbara Cox Anthony and Anne Cox Chambers, United States, $5.2 billion.

Dorrance family, United States, $5.2 billion.

Samuel I. and Donald E. Newhouse, United States, $5.2 billion.

18. Kenneth Colin Irving and family, Canada, $5 billion.

Yoneichi Otani and family, Japan, $5 billion.

Jay Arthur and Robert A. Pritzker, United States, $5 billion.

21. Erivan Haub, Germany, $4.9 billion.

22. Hirotomo Takei, Japan, $4.5 billion.

23. Bass family (Robert, Lee, Sid), United States, $4.4 billion.

Warren Edward Buffett, United States, $4.4 billion.

William Henry Gates III, United States, $4.4 billion.

MacMillan-Cargill families, United States, $4.4 billion.

Mellon family, United States, $4.4 billion.

28. Giovanni Agnelli and family, Italy, $4.3 billion.

Hearst family, United States, $4.3 billion.

30. Brenninkmeyer family, the Netherlands, $4.2 billion.

Richard Marvin Devos, United States, $4.2 billion.

Henkel family, Germany, $4.2 billion.

Jay Van Andel, United States, $4.2 billion.

34. Tetsuo Ohga family, Japan, over $4 billion.

35. Charles de G. Koch and David H. Koch, United States, $3.8 billion.

36. Quandt family, Germany, $3.7 billion.

37. Hattori family, Japan, $3.5 billion.

Reinhard Mohn and family, Germany, $3.5 billion.

Weston family, United Kingdom, $3.5 billion.

40. Seydoux-Schlumberger families, France, $3.2 billion.

41. Karl and Theo Albrecht, Germany, $3 billion.

Ken Hayashibara, Japan, $3 billion.

Isono family, Japan, $3 billion.

Vehbi M. Koc, Turkey, $3 billion.

Milliken family, United States, $3 billion.

Junichi Murata and family, Japan, $3 billion.

Rinji Shino, Japan, $3 billion.

Haruhiko Yoshimoto and family, Japan, $3 billion.

49. Eitaro Itoyama, Japan, $2.9 billion.

Ronald O. Perelman, United States, $2.9 billion.

Leslie H. Wexner, United States, $2.9 billion.

Hisakichi Yamaguchi, Japan, $2.9 billion.

53. Al-Rajhi family, Japan, $2.8 billion.

Friedrich Karl Flick Jr., Germany, $2.8 billion.

Yohachiro Iwasaki, Japan, $2.8 billion.

Tadao Yoshida and family, Japan, $2.8 billion.

57. Henry Lea Hillman, United States, $2.7 billion.

Sumner Murray Redstone, United States, $2.7 billion.

Kiyoshi Sagawa, Japan, $2.7 billion.

60. Haas family, United States, $2.6 billion.

Oetker family, Germany, $2.6 billion.

62. Pablo Escobar Gaviria, Colombia, over $2.5 billion.

Ingvar Kamprad, Sweden, over $2.5 billion.

Liem Sioe Liong and family, Indonesia, over $2.5 billion.

Ochoa family, Colombia, over $2.5 billion.

Otto family, Germany, over $2.5 billion.

Samuel Lord Vestey and Edmund Vestey, United Kingdom, over $2.5 billion.

68. Busch family, United States, $2.5 billion.

August and Wilhelm von Finck, Germany, $2.5 billion.

Gerald Cavendish Grosvenor, United Kingdom, $2.5 billion.

Rafik B. Hariri, Lebanon, $2.5 billion.

Hoffmann family, Switzerland, $2.5 billion. 

